Utterance_ID,Text,Emotion
Ses05F_script01_3_F000,youre the only one i know who loves his parents,hap
Ses05F_script01_3_M000,i know its going out of style isnt it,hap
Ses05F_script01_3_F001,no its good,hap
Ses05F_script01_3_F002,its so lovely here the air is sweet,hap
Ses05F_script01_3_F003,no but im not going to stay,hap
Ses05F_script01_3_M004,what,neu
Ses05F_script01_3_F006,well sort of embarrassed soon as i came,sad
Ses05F_script01_3_M005,well the plan was to kind of sneak up on you over a period of a week or so but uh they take it for granted that were all set,hap
Ses05F_script01_3_M006,how did you know,neu
Ses05F_script01_3_F008,well from her point of view why else would i come,neu
Ses05F_script01_3_F009,i guess this is why i came,hap
Ses05F_script01_3_M008,anne i love you i love you a great deal i love you,hap
Ses05F_script01_3_M009,i i i have no imagination thats all i know what to say iim embarrassing you i i didnt want to tell you here i wanted it to be some place different some place where we could be new to each other you know,hap
Ses05F_script01_3_M010,you feel its wrong here dont you this yard this chair i want you to be ready for me annie i dont want to win you away from anything,hap
Ses05F_script01_3_M016,oh god i kissed annie i cant believe i kissed annie how long ive wanted to do this,hap
Ses05F_script01_3_F015,ill never forgive you why did you wait so long all this time ive been wondering if i was a fool for thinking of you,hap
Ses05F_script01_3_M017,oh annie were going to live now im going to make you so happy,hap
Ses05F_script01_3_F016,not like that youre not,hap
Ses05F_script01_3_F017,like larrys brother do it like you chris chris whats the matter,hap
Ses05F_script01_3_M021,yeah i suppose i have been but its going from me,sad
Ses05F_script01_3_F020,it wouldnt work like this,sad
Ses05F_script01_3_M023,its its mixed up with so many other things i,sad
Ses05F_script01_3_M024,remember when i was overseas i was in command of the company,sad
Ses05F_script01_3_F021,yeah sure,neu
Ses05F_script01_3_M025,yeah i lost them,sad
Ses05F_script01_3_F022,how many,sad
Ses05F_script01_3_M026,just about all,sad
Ses05F_script01_3_F023,oh gee,sad
Ses05F_script01_3_M027,takes a little time to toss something like that off you know because they werent just men,sad
Ses05F_script01_3_M028,for instance theres this one time it had been raining for several days and this kid came up to me and gave me his last pair of dry socks you know he just put them in my pocket,sad
Ses05F_script01_3_M029,i know that thats not a big thing but its just the kind of guys i had they didnt die they they killed themselves for each other,sad
Ses05F_script01_3_M030,i mean that exactly thata little more selfish and they would have still been here today,sad
Ses05F_script01_3_M031,and i got an ideal watching them all go down everything was being destroyed see and,sad
Ses05F_script01_3_M032,but it seemed to me that something new was being created at the same time a kind of responsibility man for man do you understand me,sad
Ses05F_script01_3_M033,and to show thattoto bring that back onto the earth again like a like a monument and everyone would have it standing behind them and and it would make a difference for them,sad
Ses05F_script01_3_M034,and then i went home and it was incredible it had no meaning here,sad
Ses05F_script01_3_M035,it was all like some kind of bus accident to them i went back to work with my dad in that whole rat race again,sad
Ses05F_script01_3_M036,and i felt what you said ashamed somehowbecause nobody had changed at all it seemed to make suckers out of a whole lot of guys and,sad
Ses05F_script01_3_M037,it felt wrong to be aliveto open that bankbook to buy that new car to look at that new refrigerator i mean you can take those things out of the war but if you drive that car you have to know that that comes from the love that a man has for a man and youve got to be a little bit better than that,sad
Ses05F_script01_3_F024,do you still feel like that,neu
Ses05F_script01_3_M039,i i want you now annie,hap
Ses05F_script01_3_F025,because you cant feel like that anymore chris you hear me i mean everything that you have you deserve and that includes me and your father your father put hundreds of planes in the air you should be proud a man should be paid for that,sad
Ses05F_script01_3_M040,oh annie annie i am going to make you a fortune,hap
Ses05F_script01_3_F026,what would i do with a fortune,hap
Ses05M_impro08_M000,dsl extreme can i help you,neu
Ses05M_impro08_M001,this happens every two weeks,neu
Ses05M_impro08_M002,youve lost your connection,neu
Ses05M_impro08_M003,okay,neu
Ses05M_impro08_M004,hmm mmm,neu
Ses05M_impro08_M005,has somebody tried to pin your site,neu
Ses05M_impro08_F005,uh yeah weve pinned it a couple of times,neu
Ses05M_impro08_M006,okay um well i dont know and it consistently happens every two weeks,neu
Ses05M_impro08_F006,pretty much yeah  i dont know if its like bad phone lines or something,neu
Ses05M_impro08_M007,well you know what does your dsl cable  you have dsl right,neu
Ses05M_impro08_F007,hmm mmm,neu
Ses05M_impro08_M008,okay does your dsl cable you know travel a long distance by any chance  does it go through any windows i mean is it ,neu
Ses05M_impro08_F008,yeah,neu
Ses05M_impro08_F009,it goes it goes like through doorways but it goes a long distance,neu
Ses05M_impro08_M009,okay is it being is it being compressed between anything by any chance because sometimes your connection can be you know disrupted by you know the cable being squished,neu
Ses05M_impro08_M010,yeah that can be that can create a bad connection and it wont always be a bad connection but it will be bad off and on,neu
Ses05M_impro08_F011,well i i can check that is there anything else we can do too like ill go through and check the line throughout the house but ,neu
Ses05M_impro08_M011,yeah well absolutely what we can  lets just go ahead and just do a basic diagnostic of your system first off okay can you go down to your start button,neu
Ses05M_impro08_F012,uh huh,neu
Ses05M_impro08_M012,okay and uh go ahead and click on run,neu
Ses05M_impro08_F013,all right,neu
Ses05M_impro08_M013,okay were gonna get your  a little black box is going to come up do you see that,neu
Ses05M_impro08_F014,yeah i see that,neu
Ses05M_impro08_M014,okay uh youve got your c calling go ahead and type in directory list,neu
Ses05M_impro08_F015,okay,neu
Ses05M_impro08_M015,and hit enter,neu
Ses05M_impro08_F016,okay,neu
Ses05M_impro08_M016,okay can you tell me what that says,neu
Ses05M_impro08_F017,uh it its like a bunch of different letter and numbers and stuff,neu
Ses05M_impro08_M017,okay okay and um letters and numbers and stuff uh can you  can you just type in ip address search and hit enter,neu
Ses05M_impro08_F018,uh huh okay,neu
Ses05M_impro08_M018,okay does it list your ip address there,neu
Ses05M_impro08_F019,uh yeah looks  no no its set to zeros,neu
Ses05M_impro08_M019,its set to zeros okay maybe thats our problem that could very well be our problem there somehow youve lost your ip address im not sure why that would happen every week it could be a cycling issue something like that but lets go ahead and type your ip address in again,neu
Ses05M_impro08_M020,well if it does happen again let me give you my direct number and you can call me actually ill give you my cell number um its ,neu
Ses05M_impro08_M021,of course we seriously yeah i mean obviously youve worked you know  i dont want to hassle you anymore,neu
Ses05M_impro08_F022,oh my god i cant even tell you how much of a relief that is i literally call and talk to five different people like last week it went off and i spent an hour and a half on the phone with different people and ive been doing that like every every other week for months now,hap
Ses05M_impro08_M022,i completely understand,neu
Ses05M_impro08_M023,absolutely and i just dont want that to happen to you anymore,neu
Ses05M_impro08_M024,absolutely its a new service we are offering,neu
Ses05M_impro08_F025,yeah accountability its awesome,hap
Ses05M_impro08_M025,uh huh uh huh we want you to be happy youre our customer youre the most important thing okay,neu
Ses05M_impro08_F026,wow you know i was thinking about changing internet providers but but that that really is enough to change my mind,hap
Ses05M_impro08_M026,great well that makes me very happy that makes us all happy here at dsl extreme is there anything else i can help you with,hap
Ses05M_impro08_F027,no im just gonna go have a fantastic day now,hap
Ses05M_impro08_M027,all right you have a wonderful day call us anytime,neu
Ses05M_impro08_F028,okay thanks,hap
Ses05M_impro08_M028,all right bye bye,hap
Ses05F_impro01_F000,hi i need an id,neu
Ses05F_impro01_M000,ahh yeah this is the wrong line im sorry you need to go back over to line two b thats where you should have started from,neu
Ses05F_impro01_M003,well i have no camera here i cant help you at all here maam i have forms for something completely different you need to go to a different place,neu
Ses05F_impro01_F008,so could i maybe get the form from you fill it out here and maybe you could,neu
